"Rentrée";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";1082;576;35487;20020;0,0194930369142631;0,0162312959675374
"2019";1029;580;35487;20020;0,0185382023888879;0,0163440133006453
"2020";1119;620;35487;20020;0,0201596195074495;0,0174711866317243
"2021";1029;592;35487;20020;0,0185382023888879;0,016682165299969
