"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2019";"Université";"0830766G";"UNIVERSITE DE TOULON (VAR)";10;1;223;78;0,0332225913621262;0,00448430493273543
"2019";"Université";"0840685N";"UNIVERSITE D'AVIGNON";5;4;171;48;0,0228310502283105;0,0233918128654971
"2019";"Université";"0860856N";"UNIVERSITE DE POITIERS";21;11;618;314;0,0225321888412017;0,0177993527508091
"2019";"Université";"0870669E";"UNIVERSITE DE LIMOGES";6;9;372;215;0,010221465076661;0,0241935483870968
"2019";"Université";"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";3;7;186;78;0,0113636363636364;0,0376344086021505
"2019";"Université";"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";22;13;541;258;0,0275344180225282;0,0240295748613678
"2019";"Université";"0931238R";"UNIVERSITE PARIS 13";13;6;477;242;0,0180806675938804;0,0125786163522013
"2019";"Université";"0931827F";"UNIVERSITE PARIS 8";4;0;444;202;0,00619195046439629;0
"2019";"Université";"0941111X";"UNIVERSITE PARIS EST CRETEIL (PARIS 12";16;11;525;302;0,0193470374848851;0,020952380952381
"2019";"Université";"7200664J";"UNIVERSITE DE CORTE";1;0;116;37;0,0065359477124183;0
"2019";"Université";"9710585J";"UNIVERSITE DES ANTILLES";6;7;230;96;0,0184049079754601;0,0304347826086957
"2019";"Université";"9730429D";"UNIVERSITE DE LA GUYANE";5;2;42;1;0,116279069767442;0,0476190476190476
"2019";"Université";"9740478B";"UNIVERSITE DE LA REUNION";8;2;233;105;0,0236686390532544;0,00858369098712446
"2019";"Université";"9840349G";"UNIVERSITE DE POLYNESIE FRANCAISE";1;2;48;12;0,0166666666666667;0,0416666666666667
"2020";"École d'ingénieurs";"0340112M";"ENS DE CHIMIE DE MONTPELLIER";2;1;24;12;0,0555555555555556;0,0416666666666667
"2020";"École d'ingénieurs";"0590338X";"ENSAIT DE ROUBAIX";0;2;17;11;0;0,117647058823529
"2020";"École d'ingénieurs";"0632033T";"ECOLE D'INGENIEURS SIGMA CLERMONT";3;1;37;20;0,0526315789473684;0,027027027027027
"2020";"École habilitée à délivrer un diplôme d'ingénieur";"0951376E";"ENSEA DE CERGY";2;1;25;7;0,0625;0,04
"2020";"École nationale supérieure d'ingénieurs";"0350077U";"ENS DE CHIMIE DE RENNES";0;1;17;11;0;0,0588235294117647
"2020";"École nationale supérieure d'ingénieurs";"0650048Z";"ENI DE TARBES";1;0;36;17;0,0188679245283019;0
"2020";"École nationale supérieure d'ingénieurs";"0912266U";"ENS IIE";3;1;12;7;0,157894736842105;0,0833333333333333
"2020";"École normale supérieure";"0352440M";"ECOLE NORMALE SUPERIEURE DE RENNES";0;2;9;9;0;0,222222222222222
"2020";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";3;3;103;69;0,0174418604651163;0,029126213592233
"2020";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";0;3;61;38;0;0,0491803278688525
"2020";"Grand établissement";"0212198A";"AGROSUP DIJON (INSSAAE)";0;1;16;13;0;0,0625
"2020";"Grand établissement";"0333232J";"INP DE BORDEAUX";1;0;108;71;0,00558659217877095;0
"2020";"Grand établissement";"0381912X";"INP DE GRENOBLE";6;4;179;125;0,0197368421052632;0,0223463687150838
"2020";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";0;2;5;3;0;0,4
"2020";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";5;2;173;104;0,0180505415162455;0,0115606936416185
"2020";"Grand établissement";"0753237L";"ENSAM";1;2;157;66;0,00448430493273543;0,0127388535031847
"2020";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;2;3;52;0;0,666666666666667
"2020";"Grand établissement";"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";6;2;236;116;0,0170454545454545;0,00847457627118644
"2020";"Grand établissement";"0753488J";"INALCO PARIS";7;6;144;74;0,0321100917431193;0,0416666666666667
"2020";"Grand établissement";"0912341A";"CENTRALESUPELEC";3;0;26;40;0,0454545454545455;0
"2020";"Institut d'étude politique";"0130221V";"I.E.P D'AIX-EN-PROVENCE";1;0;18;13;0,032258064516129;0
"2020";"Institut d'étude politique";"0310133B";"I.E.P DE TOULOUSE";1;0;18;11;0,0344827586206897;0
"2020";"Institut d'étude politique";"0330192E";"I.E.P DE BORDEAUX";4;0;14;16;0,133333333333333;0
"2020";"Institut d'étude politique";"0352317D";"I.E.P DE RENNES";1;1;15;7;0,0454545454545455;0,0666666666666667
"2020";"Institut d'étude politique";"0380134P";"IEP DE GRENOBLE";2;0;27;15;0,0476190476190476;0
"2020";"Institut d'étude politique";"0595876S";"I.E.P DE LILLE";1;1;23;6;0,0344827586206897;0,0434782608695652
"2020";"Institut d'étude politique";"0690173N";"I.E.P DE LYON";2;3;27;16;0,0465116279069767;0,111111111111111
"2020";"Institut national polytechnique";"0311381H";"INP DE TOULOUSE";2;2;150;104;0,0078740157480315;0,0133333333333333
"2020";"Institut ou école extérieur aux universités";"0101060Y";"UNIVERSITE DE TECHNOLOGIE DE TROYES";4;0;54;36;0,0444444444444444;0
"2020";"Institut ou école extérieur aux universités";"0141720U";"ENSI CAEN";0;1;30;17;0;0,0333333333333333
"2020";"Institut ou école extérieur aux universités";"0250082D";"ENS MECANIQUE & MICROTECH. BESANCON";0;1;30;19;0;0,0333333333333333
"2020";"Institut ou école extérieur aux universités";"0310152X";"INSA DE TOULOUSE";4;2;99;66;0,0242424242424242;0,0202020202020202
"2020";"Institut ou école extérieur aux universités";"0350097R";"INSA DE RENNES";1;1;92;38;0,00769230769230769;0,0108695652173913
"2020";"Institut ou école extérieur aux universités";"0420093Y";"ENI DE SAINT-ETIENNE";2;1;20;10;0,0666666666666667;0,05
"2020";"Institut ou école extérieur aux universités";"0597139P";"CENTRALE LILLE INSTITUT";3;3;64;43;0,0280373831775701;0,046875
"2020";"Institut ou école extérieur aux universités";"0601223D";"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE";8;0;92;68;0,05;0
"2020";"Institut ou école extérieur aux universités";"0690187D";"ECOLE CENTRALE DE LYON";3;2;69;34;0,029126213592233;0,0289855072463768
"2020";"Institut ou école extérieur aux universités";"0690192J";"INSA DE LYON";10;2;275;140;0,0240963855421687;0,00727272727272727
"2020";"Institut ou école extérieur aux universités";"0760165S";"INSA DE ROUEN";1;1;64;34;0,0102040816326531;0,015625
"2020";"Institut ou école extérieur aux universités";"0811293R";"INSTITUT NATIONAL UNIV. D'ALBI";4;2;63;12;0,0533333333333333;0,0317460317460317
"2020";"Institut ou école extérieur aux universités";"0900424X";"BELFORT-MONTBEL (UNIV TECHNO)";4;0;66;25;0,043956043956044;0
"2020";"Institut ou école extérieur aux universités";"0930603A";"INST. SUP. MECANIQUE PARIS";2;1;21;11;0,0625;0,0476190476190476
"2020";"Université";"0062205P";"UNIVERSITE COTE D'AZUR";22;15;567;376;0,0233297985153765;0,0264550264550265
"2020";"Université";"0134009M";"UNIVERSITE AIX-MARSEILLE";43;18;1543;925;0,0174230145867099;0,0116655865197667
"2020";"Université";"0141408E";"UNIVERSITE DE CAEN";11;10;579;293;0,0126146788990826;0,0172711571675302
"2020";"Université";"0171463Y";"UNIVERSITE DE LA ROCHELLE";4;6;169;66;0,0170212765957447;0,0355029585798817
"2020";"Université";"0211237F";"UNIVERSITE DE DIJON";18;10;560;340;0,02;0,0178571428571429
"2020";"Université";"0251215K";"UNIVERSITE DE BESANCON";13;11;523;253;0,0167525773195876;0,0210325047801147
"2020";"Université";"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";4;2;485;222;0,00565770862800566;0,00412371134020619
"2020";"Université";"0301687W";"UNIVERSITE DE NIMES";5;0;51;16;0,0746268656716418;0
"2020";"Université";"0311382J";"UNIVERSITE TOULOUSE 1";8;4;159;120;0,028673835125448;0,0251572327044025
"2020";"Université";"0311383K";"UNIVERSITE TOULOUSE 2";22;14;488;189;0,0324963072378139;0,0286885245901639
"2020";"Université";"0311384L";"UNIVERSITE TOULOUSE 3";9;6;894;536;0,00629370629370629;0,00671140939597315
"2020";"Université";"0331766R";"UNIVERSITE BORDEAUX MONTAIGNE";9;3;279;123;0,0223880597014925;0,010752688172043
"2020";"Université";"0333298F";"UNIVERSITE DE BORDEAUX";13;25;919;615;0,00847457627118644;0,0272034820457018
"2020";"Université";"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";15;7;298;139;0,034324942791762;0,023489932885906
"2020";"Université";"0342321N";"UNIVERSITE DE MONTPELLIER";3;5;821;574;0,0021505376344086;0,00609013398294762
"2020";"Université";"0350936C";"UNIVERSITE RENNES 1";7;11;614;364;0,00715746421267894;0,0179153094462541
"2020";"Université";"0350937D";"UNIVERSITE RENNES 2";9;4;328;121;0,0200445434298441;0,0121951219512195
"2020";"Université";"0370800U";"UNIVERSITE DE TOURS";16;7;520;286;0,0198511166253102;0,0134615384615385
